#datatype,string,long,dateTime:RFC3339,string,string,double
#group,true,true,false,true,true,false
#default,,,,,,
,result,table,_time,_measurement,_field,_value
,ur,17,2025-08-29T10:25:58.026Z,ur_joints,wrist3,-0.033335789
,ur,18,2025-08-29T10:25:58.139Z,ur_joints,base,-1.798387261
,ur,18,2025-08-29T10:25:58.139Z,ur_joints,elbow,-1.090307184
,ur,18,2025-08-29T10:25:58.139Z,ur_joints,shoulder,-1.416858287
,ur,18,2025-08-29T10:25:58.139Z,ur_joints,wrist1,-0.759916356
,ur,18,2025-08-29T10:25:58.139Z,ur_joints,wrist2,1.852841534
,ur,18,2025-08-29T10:25:58.139Z,ur_joints,wrist3,-0.033161256
,ur,19,2025-08-29T10:25:58.247Z,ur_joints,base,-1.779712238
,ur,19,2025-08-29T10:25:58.247Z,ur_joints,elbow,-1.195026939
,ur,19,2025-08-29T10:25:58.247Z,ur_joints,shoulder,-1.446005285
,ur,19,2025-08-29T10:25:58.247Z,ur_joints,wrist1,-0.764454212
,ur,19,2025-08-29T10:25:58.247Z,ur_joints,wrist2,1.828581457
,ur,19,2025-08-29T10:25:58.247Z,ur_joints,wrist3,-0.032986723
,ur,20,2025-08-29T10:25:58.353Z,ur_joints,base,-1.761211748
,ur,20,2025-08-29T10:25:58.353Z,ur_joints,elbow,-1.299746694
,ur,20,2025-08-29T10:25:58.353Z,ur_joints,shoulder,-1.475152284
,ur,20,2025-08-29T10:25:58.353Z,ur_joints,wrist1,-0.768992068
,ur,20,2025-08-29T10:25:58.353Z,ur_joints,wrist2,1.804321381
,ur,20,2025-08-29T10:25:58.353Z,ur_joints,wrist3,-0.032637657
,ur,21,2025-08-29T10:25:58.461Z,ur_joints,base,-1.742536725
,ur,21,2025-08-29T10:25:58.461Z,ur_joints,elbow,-1.404466449
,ur,21,2025-08-29T10:25:58.461Z,ur_joints,shoulder,-1.504473815
,ur,21,2025-08-29T10:25:58.461Z,ur_joints,wrist1,-0.773529924
,ur,21,2025-08-29T10:25:58.461Z,ur_joints,wrist2,1.780061304
,ur,21,2025-08-29T10:25:58.461Z,ur_joints,wrist3,-0.032463124
,ur,22,2025-08-29T10:25:58.569Z,ur_joints,base,-1.723861702
,ur,22,2025-08-29T10:25:58.569Z,ur_joints,elbow,-1.509186204
,ur,22,2025-08-29T10:25:58.569Z,ur_joints,shoulder,-1.533620814
,ur,22,2025-08-29T10:25:58.569Z,ur_joints,wrist1,-0.778067781
,ur,22,2025-08-29T10:25:58.569Z,ur_joints,wrist2,1.755801228
,ur,22,2025-08-29T10:25:58.569Z,ur_joints,wrist3,-0.032288591
,ur,23,2025-08-29T10:25:58.683Z,ur_joints,base,-1.705361212
,ur,23,2025-08-29T10:25:58.683Z,ur_joints,elbow,-1.613905959
,ur,23,2025-08-29T10:25:58.683Z,ur_joints,shoulder,-1.562767812
,ur,23,2025-08-29T10:25:58.683Z,ur_joints,wrist1,-0.782605637
,ur,23,2025-08-29T10:25:58.683Z,ur_joints,wrist2,1.731541151
,ur,23,2025-08-29T10:25:58.683Z,ur_joints,wrist3,-0.032114058
,ur,24,2025-08-29T10:25:58.790Z,ur_joints,base,-1.686686189
,ur,24,2025-08-29T10:25:58.790Z,ur_joints,elbow,-1.718625714
,ur,24,2025-08-29T10:25:58.790Z,ur_joints,shoulder,-1.592089344
,ur,24,2025-08-29T10:25:58.790Z,ur_joints,wrist1,-0.787143493
,ur,24,2025-08-29T10:25:58.790Z,ur_joints,wrist2,1.707281074
,ur,24,2025-08-29T10:25:58.790Z,ur_joints,wrist3,-0.031939525
,ur,25,2025-08-29T10:25:58.902Z,ur_joints,base,-1.668185699
,ur,25,2025-08-29T10:25:58.902Z,ur_joints,elbow,-1.823345470
,ur,25,2025-08-29T10:25:58.902Z,ur_joints,shoulder,-1.621236342
,ur,25,2025-08-29T10:25:58.902Z,ur_joints,wrist1,-0.791506816
,ur,25,2025-08-29T10:25:58.902Z,ur_joints,wrist2,1.683020998
,ur,25,2025-08-29T10:25:58.902Z,ur_joints,wrist3,-0.031764992
,ur,26,2025-08-29T10:25:59.012Z,ur_joints,base,-1.651081472
,ur,26,2025-08-29T10:25:59.012Z,ur_joints,elbow,-1.919338578
,ur,26,2025-08-29T10:25:59.012Z,ur_joints,shoulder,-1.647939880
,ur,26,2025-08-29T10:25:59.012Z,ur_joints,wrist1,-0.795695606
,ur,26,2025-08-29T10:25:59.012Z,ur_joints,wrist2,1.660855316
,ur,26,2025-08-29T10:25:59.012Z,ur_joints,wrist3,-0.031590459
,ur,27,2025-08-29T10:25:59.122Z,ur_joints,base,-1.636595240
,ur,27,2025-08-29T10:25:59.122Z,ur_joints,elbow,-2.001369053
,ur,27,2025-08-29T10:25:59.122Z,ur_joints,shoulder,-1.670803693
,ur,27,2025-08-29T10:25:59.122Z,ur_joints,wrist1,-0.799360797
,ur,27,2025-08-29T10:25:59.122Z,ur_joints,wrist2,1.641831227
,ur,27,2025-08-29T10:25:59.122Z,ur_joints,wrist3,-0.031415927
,ur,28,2025-08-29T10:25:59.231Z,ur_joints,base,-1.624377935
,ur,28,2025-08-29T10:25:59.231Z,ur_joints,elbow,-2.069436894
,ur,28,2025-08-29T10:25:59.231Z,ur_joints,shoulder,-1.689827782
,ur,28,2025-08-29T10:25:59.231Z,ur_joints,wrist1,-0.802153324
,ur,28,2025-08-29T10:25:59.231Z,ur_joints,wrist2,1.626123264
,ur,28,2025-08-29T10:25:59.231Z,ur_joints,wrist3,-0.031241394
,ur,29,2025-08-29T10:25:59.339Z,ur_joints,base,-1.614778624
,ur,29,2025-08-29T10:25:59.339Z,ur_joints,elbow,-2.123542101
,ur,29,2025-08-29T10:25:59.339Z,ur_joints,shoulder,-1.704837613
,ur,29,2025-08-29T10:25:59.339Z,ur_joints,wrist1,-0.804596785
,ur,29,2025-08-29T10:25:59.339Z,ur_joints,wrist2,1.613556893
,ur,29,2025-08-29T10:25:59.339Z,ur_joints,wrist3,-0.031066861
,ur,30,2025-08-29T10:25:59.455Z,ur_joints,base,-1.607622774
,ur,30,2025-08-29T10:25:59.455Z,ur_joints,elbow,-2.163684674
,ur,30,2025-08-29T10:25:59.455Z,ur_joints,shoulder,-1.716182253
,ur,30,2025-08-29T10:25:59.455Z,ur_joints,wrist1,-0.806342114
,ur,30,2025-08-29T10:25:59.455Z,ur_joints,wrist2,1.604306648
,ur,30,2025-08-29T10:25:59.455Z,ur_joints,wrist3,-0.031066861
,ur,31,2025-08-29T10:25:59.563Z,ur_joints,base,-1.603084918
,ur,31,2025-08-29T10:25:59.563Z,ur_joints,elbow,-2.189864612
,ur,31,2025-08-29T10:25:59.563Z,ur_joints,shoulder,-1.723338103
,ur,31,2025-08-29T10:25:59.563Z,ur_joints,wrist1,-0.807389312
,ur,31,2025-08-29T10:25:59.563Z,ur_joints,wrist2,1.598197996
,ur,31,2025-08-29T10:25:59.563Z,ur_joints,wrist3,-0.031066861
,ur,32,2025-08-29T10:25:59.671Z,ur_joints,base,-1.600815990
,ur,32,2025-08-29T10:25:59.671Z,ur_joints,elbow,-2.202081917
,ur,32,2025-08-29T10:25:59.671Z,ur_joints,shoulder,-1.726828762
,ur,32,2025-08-29T10:25:59.671Z,ur_joints,wrist1,-0.807912911
,ur,32,2025-08-29T10:25:59.671Z,ur_joints,wrist2,1.595405469
,ur,32,2025-08-29T10:25:59.671Z,ur_joints,wrist3,-0.031066861
,ur,33,2025-08-29T10:25:59.782Z,ur_joints,base,-1.601165056
,ur,33,2025-08-29T10:25:59.782Z,ur_joints,elbow,-2.200336588
,ur,33,2025-08-29T10:25:59.782Z,ur_joints,shoulder,-1.726305163
,ur,33,2025-08-29T10:25:59.782Z,ur_joints,wrist1,-0.807912911
,ur,33,2025-08-29T10:25:59.782Z,ur_joints,wrist2,1.595754535
,ur,33,2025-08-29T10:25:59.782Z,ur_joints,wrist3,-0.031066861
,ur,34,2025-08-29T10:25:59.893Z,ur_joints,base,-1.603957583
,ur,34,2025-08-29T10:25:59.893Z,ur_joints,elbow,-2.184628625
,ur,34,2025-08-29T10:25:59.893Z,ur_joints,shoulder,-1.721941840
,ur,34,2025-08-29T10:25:59.893Z,ur_joints,wrist1,-0.807214779
,ur,34,2025-08-29T10:25:59.893Z,ur_joints,wrist2,1.599419727
,ur,34,2025-08-29T10:25:59.893Z,ur_joints,wrist3,-0.031066861
,ur,35,2025-08-29T10:26:00.005Z,ur_joints,base,-1.609193570
,ur,35,2025-08-29T10:26:00.005Z,ur_joints,elbow,-2.154958027
,ur,35,2025-08-29T10:26:00.005Z,ur_joints,shoulder,-1.713738793
,ur,35,2025-08-29T10:26:00.005Z,ur_joints,wrist1,-0.805993049
,ur,35,2025-08-29T10:26:00.005Z,ur_joints,wrist2,1.606226511
,ur,35,2025-08-29T10:26:00.005Z,ur_joints,wrist3,-0.031066861
,ur,36,2025-08-29T10:26:00.118Z,ur_joints,base,-1.617047552
,ur,36,2025-08-29T10:26:00.118Z,ur_joints,elbow,-2.111324796
,ur,36,2025-08-29T10:26:00.118Z,ur_joints,shoulder,-1.701521488
,ur,36,2025-08-29T10:26:00.118Z,ur_joints,wrist1,-0.804073186
,ur,36,2025-08-29T10:26:00.118Z,ur_joints,wrist2,1.616349420
,ur,36,2025-08-29T10:26:00.118Z,ur_joints,wrist3,-0.031241394
,ur,37,2025-08-29T10:26:00.226Z,ur_joints,base,-1.627170462
,ur,37,2025-08-29T10:26:00.226Z,ur_joints,elbow,-2.053728931
,ur,37,2025-08-29T10:26:00.226Z,ur_joints,shoulder,-1.685464459
,ur,37,2025-08-29T10:26:00.226Z,ur_joints,wrist1,-0.801629725
,ur,37,2025-08-29T10:26:00.226Z,ur_joints,wrist2,1.629613923
,ur,37,2025-08-29T10:26:00.226Z,ur_joints,wrist3,-0.031241394
,ur,38,2025-08-29T10:26:00.336Z,ur_joints,base,-1.639911365
,ur,38,2025-08-29T10:26:00.336Z,ur_joints,elbow,-1.982170431
,ur,38,2025-08-29T10:26:00.336Z,ur_joints,shoulder,-1.665567705
,ur,38,2025-08-29T10:26:00.336Z,ur_joints,wrist1,-0.798488133
,ur,38,2025-08-29T10:26:00.336Z,ur_joints,wrist2,1.646194550
,ur,38,2025-08-29T10:26:00.336Z,ur_joints,wrist3,-0.031415927
,ur,39,2025-08-29T10:26:00.445Z,ur_joints,base,-1.655095730
,ur,39,2025-08-29T10:26:00.445Z,ur_joints,elbow,-1.896649298
,ur,39,2025-08-29T10:26:00.445Z,ur_joints,shoulder,-1.641656694
,ur,39,2025-08-29T10:26:00.445Z,ur_joints,wrist1,-0.794822941
,ur,39,2025-08-29T10:26:00.445Z,ur_joints,wrist2,1.666091304
,ur,39,2025-08-29T10:26:00.445Z,ur_joints,wrist3,-0.031590459
,ur,40,2025-08-29T10:26:00.553Z,ur_joints,base,-1.672723555
,ur,40,2025-08-29T10:26:00.553Z,ur_joints,elbow,-1.797165531
,ur,40,2025-08-29T10:26:00.553Z,ur_joints,shoulder,-1.613905959
,ur,40,2025-08-29T10:26:00.553Z,ur_joints,wrist1,-0.790459618
,ur,40,2025-08-29T10:26:00.553Z,ur_joints,wrist2,1.689129650
,ur,40,2025-08-29T10:26:00.553Z,ur_joints,wrist3,-0.031764992
,ur,41,2025-08-29T10:26:00.662Z,ur_joints,base,-1.691398578
,ur,41,2025-08-29T10:26:00.662Z,ur_joints,elbow,-1.692445776
,ur,41,2025-08-29T10:26:00.662Z,ur_joints,shoulder,-1.584758961
,ur,41,2025-08-29T10:26:00.662Z,ur_joints,wrist1,-0.785921762
,ur,41,2025-08-29T10:26:00.662Z,ur_joints,wrist2,1.713389727
,ur,41,2025-08-29T10:26:00.662Z,ur_joints,wrist3,-0.031939525
,ur,42,2025-08-29T10:26:00.769Z,ur_joints,base,-1.710073601
,ur,42,2025-08-29T10:26:00.769Z,ur_joints,elbow,-1.587726021
,ur,42,2025-08-29T10:26:00.769Z,ur_joints,shoulder,-1.555611962
,ur,42,2025-08-29T10:26:00.769Z,ur_joints,wrist1,-0.781383906
,ur,42,2025-08-29T10:26:00.769Z,ur_joints,wrist2,1.737649803
,ur,42,2025-08-29T10:26:00.769Z,ur_joints,wrist3,-0.032114058
,ur,43,2025-08-29T10:26:00.880Z,ur_joints,base,-1.728574091
,ur,43,2025-08-29T10:26:00.880Z,ur_joints,elbow,-1.483006265
,ur,43,2025-08-29T10:26:00.880Z,ur_joints,shoulder,-1.526290431
,ur,43,2025-08-29T10:26:00.880Z,ur_joints,wrist1,-0.776846050
,ur,43,2025-08-29T10:26:00.880Z,ur_joints,wrist2,1.761909880
,ur,43,2025-08-29T10:26:00.880Z,ur_joints,wrist3,-0.032288591
,ur,44,2025-08-29T10:26:00.988Z,ur_joints,base,-1.747249114
,ur,44,2025-08-29T10:26:00.988Z,ur_joints,elbow,-1.378286510
,ur,44,2025-08-29T10:26:00.988Z,ur_joints,shoulder,-1.497143432
,ur,44,2025-08-29T10:26:00.988Z,ur_joints,wrist1,-0.772308194
,ur,44,2025-08-29T10:26:00.988Z,ur_joints,wrist2,1.786169956
,ur,44,2025-08-29T10:26:00.988Z,ur_joints,wrist3,-0.032637657
,ur,45,2025-08-29T10:26:01.096Z,ur_joints,base,-1.765749604
,ur,45,2025-08-29T10:26:01.096Z,ur_joints,elbow,-1.273566755
,ur,45,2025-08-29T10:26:01.096Z,ur_joints,shoulder,-1.467996434
,ur,45,2025-08-29T10:26:01.096Z,ur_joints,wrist1,-0.767770338
,ur,45,2025-08-29T10:26:01.096Z,ur_joints,wrist2,1.810430033
,ur,45,2025-08-29T10:26:01.096Z,ur_joints,wrist3,-0.032812190
,ur,46,2025-08-29T10:26:01.203Z,ur_joints,base,-1.784424627
,ur,46,2025-08-29T10:26:01.203Z,ur_joints,elbow,-1.168847000
,ur,46,2025-08-29T10:26:01.203Z,ur_joints,shoulder,-1.438674902
,ur,46,2025-08-29T10:26:01.203Z,ur_joints,wrist1,-0.763407015
,ur,46,2025-08-29T10:26:01.203Z,ur_joints,wrist2,1.834690110
,ur,46,2025-08-29T10:26:01.203Z,ur_joints,wrist3,-0.032986723
,ur,47,2025-08-29T10:26:01.310Z,ur_joints,base,-1.802925117
,ur,47,2025-08-29T10:26:01.310Z,ur_joints,elbow,-1.064127245
,ur,47,2025-08-29T10:26:01.310Z,ur_joints,shoulder,-1.409527904
,ur,47,2025-08-29T10:26:01.310Z,ur_joints,wrist1,-0.758869159
,ur,47,2025-08-29T10:26:01.310Z,ur_joints,wrist2,1.858950186
,ur,47,2025-08-29T10:26:01.310Z,ur_joints,wrist3,-0.033161256
,ur,48,2025-08-29T10:26:01.420Z,ur_joints,base,-1.821600140
,ur,48,2025-08-29T10:26:01.420Z,ur_joints,elbow,-0.959407490
,ur,48,2025-08-29T10:26:01.420Z,ur_joints,shoulder,-1.380380905
,ur,48,2025-08-29T10:26:01.420Z,ur_joints,wrist1,-0.754331303
,ur,48,2025-08-29T10:26:01.420Z,ur_joints,wrist2,1.883210263
,ur,48,2025-08-29T10:26:01.420Z,ur_joints,wrist3,-0.033335789
,ur,49,2025-08-29T10:26:01.528Z,ur_joints,base,-1.840275163
,ur,49,2025-08-29T10:26:01.528Z,ur_joints,elbow,-0.854687735
,ur,49,2025-08-29T10:26:01.528Z,ur_joints,shoulder,-1.351059374
,ur,49,2025-08-29T10:26:01.528Z,ur_joints,wrist1,-0.749793447
,ur,49,2025-08-29T10:26:01.528Z,ur_joints,wrist2,1.907470340
,ur,49,2025-08-29T10:26:01.528Z,ur_joints,wrist3,-0.033510322
,ur,50,2025-08-29T10:26:01.641Z,ur_joints,base,-1.858775653
,ur,50,2025-08-29T10:26:01.641Z,ur_joints,elbow,-0.749967980
,ur,50,2025-08-29T10:26:01.641Z,ur_joints,shoulder,-1.321912375
,ur,50,2025-08-29T10:26:01.641Z,ur_joints,wrist1,-0.745255591
,ur,50,2025-08-29T10:26:01.641Z,ur_joints,wrist2,1.931730416
,ur,50,2025-08-29T10:26:01.641Z,ur_joints,wrist3,-0.033684855
,ur,51,2025-08-29T10:26:01.752Z,ur_joints,base,-1.877450676
,ur,51,2025-08-29T10:26:01.752Z,ur_joints,elbow,-0.645248224
,ur,51,2025-08-29T10:26:01.752Z,ur_joints,shoulder,-1.292765377
,ur,51,2025-08-29T10:26:01.752Z,ur_joints,wrist1,-0.740717735
,ur,51,2025-08-29T10:26:01.752Z,ur_joints,wrist2,1.955990493
,ur,51,2025-08-29T10:26:01.752Z,ur_joints,wrist3,-0.034033920
,ur,52,2025-08-29T10:26:01.862Z,ur_joints,base,-1.895951166
,ur,52,2025-08-29T10:26:01.862Z,ur_joints,elbow,-0.540528469
,ur,52,2025-08-29T10:26:01.862Z,ur_joints,shoulder,-1.263618378
,ur,52,2025-08-29T10:26:01.862Z,ur_joints,wrist1,-0.736179878
,ur,52,2025-08-29T10:26:01.862Z,ur_joints,wrist2,1.980250569
,ur,52,2025-08-29T10:26:01.862Z,ur_joints,wrist3,-0.034208453
,ur,53,2025-08-29T10:26:01.972Z,ur_joints,base,-1.914626189
,ur,53,2025-08-29T10:26:01.972Z,ur_joints,elbow,-0.435808714
,ur,53,2025-08-29T10:26:01.972Z,ur_joints,shoulder,-1.234296847
,ur,53,2025-08-29T10:26:01.972Z,ur_joints,wrist1,-0.731642022
,ur,53,2025-08-29T10:26:01.972Z,ur_joints,wrist2,2.004510646
,ur,53,2025-08-29T10:26:01.972Z,ur_joints,wrist3,-0.034382986
,ur,54,2025-08-29T10:26:02.083Z,ur_joints,base,-1.933301212
,ur,54,2025-08-29T10:26:02.083Z,ur_joints,elbow,-0.331088959
,ur,54,2025-08-29T10:26:02.083Z,ur_joints,shoulder,-1.205149849
,ur,54,2025-08-29T10:26:02.083Z,ur_joints,wrist1,-0.727104166
,ur,54,2025-08-29T10:26:02.083Z,ur_joints,wrist2,2.028770723
,ur,54,2025-08-29T10:26:02.083Z,ur_joints,wrist3,-0.034557519
,ur,55,2025-08-29T10:26:02.194Z,ur_joints,base,-1.951801703
,ur,55,2025-08-29T10:26:02.194Z,ur_joints,elbow,-0.226369204
,ur,55,2025-08-29T10:26:02.194Z,ur_joints,shoulder,-1.176002850
,ur,55,2025-08-29T10:26:02.194Z,ur_joints,wrist1,-0.722566310
,ur,55,2025-08-29T10:26:02.194Z,ur_joints,wrist2,2.053030799
,ur,55,2025-08-29T10:26:02.194Z,ur_joints,wrist3,-0.034732052
,ur,56,2025-08-29T10:26:02.304Z,ur_joints,base,-1.970476726
,ur,56,2025-08-29T10:26:02.304Z,ur_joints,elbow,-0.121649449
,ur,56,2025-08-29T10:26:02.304Z,ur_joints,shoulder,-1.146681319
,ur,56,2025-08-29T10:26:02.304Z,ur_joints,wrist1,-0.718028454
,ur,56,2025-08-29T10:26:02.304Z,ur_joints,wrist2,2.077290876
,ur,56,2025-08-29T10:26:02.304Z,ur_joints,wrist3,-0.034906585
,ur,57,2025-08-29T10:26:02.416Z,ur_joints,base,-1.988977216
