#constant measurement,ur_joints
#datatype double,double,double,double,double,double
base,elbow,shoulder,wrist1,wrist2,wrist3
-1.747249114,-1.378286510,-1.497143432,-0.772308194,1.786169956,-0.032637657
-1.765749604,-1.273566755,-1.467996434,-0.767770338,1.810430033,-0.032812190
-1.784424627,-1.168847000,-1.438674902,-0.763407015,1.834690110,-0.032986723
-1.802925117,-1.064127245,-1.409527904,-0.758869159,1.858950186,-0.033161256
-1.821600140,-0.959407490,-1.380380905,-0.754331303,1.883210263,-0.033335789
-1.840275163,-0.854687735,-1.351059374,-0.749793447,1.907470340,-0.033510322
-1.858775653,-0.749967980,-1.321912375,-0.745255591,1.931730416,-0.033684855
-1.877450676,-0.645248224,-1.292765377,-0.740717735,1.955990493,-0.034033920
-1.895951166,-0.540528469,-1.263618378,-0.736179878,1.980250569,-0.034208453
-1.914626189,-0.435808714,-1.234296847,-0.731642022,2.004510646,-0.034382986
-1.933301212,-0.331088959,-1.205149849,-0.727104166,2.028770723,-0.034557519
-1.951801703,-0.226369204,-1.176002850,-0.722566310,2.053030799,-0.034732052
-1.970476726,-0.121649449,-1.146681319,-0.718028454,2.077290876,-0.034906585
-1.988977216,-0.016929694,-1.117534320,-0.713490598,2.101550952,-0.035081118
-2.007652239,0.087790061,-1.088387322,-0.708952742,2.125811029,-0.035255651
-2.026152729,0.192509816,-1.059065790,-0.704589419,2.150071106,-0.035604717
-2.044827752,0.297229572,-1.029918792,-0.700051563,2.174331182,-0.035779250
-2.063502775,0.401949327,-1.000771793,-0.695513707,2.198591259,-0.035953783
-2.082003265,0.506669082,-0.971450262,-0.690975851,2.222676802,-0.036128316
-2.100678288,0.611388837,-0.942303263,-0.686437995,2.246936879,-0.036302848
-2.119178778,0.716108592,-0.913156265,-0.681900139,2.271196956,-0.036477381
-2.137853801,0.820828347,-0.884009266,-0.677362283,2.295457032,-0.036651914
-2.155132560,0.918217719,-0.856782130,-0.673173492,2.318146312,-0.037000980
-2.169967859,1.001818991,-0.833394718,-0.669508301,2.337519467,-0.037000980
-2.182359697,1.071457628,-0.814021563,-0.666541241,2.353576496,-0.037175513
-2.192308073,1.127133631,-0.798488133,-0.664097780,2.366491933,-0.037350046
-2.199638456,1.168847000,-0.786968960,-0.662352451,2.376091244,-0.037350046
-2.204525378,1.196423202,-0.779114978,-0.661130721,2.382548962,-0.037524579
-2.206968839,1.210211303,-0.775275254,-0.660607122,2.385690555,-0.037524579
-2.206968839,1.210036770,-0.775449787,-0.660607122,2.385690555,-0.037524579
-2.204525378,1.195899603,-0.779289511,-0.661130721,2.382374429,-0.037524579
-2.199463923,1.167625270,-0.787143493,-0.662352451,2.375916711,-0.037350046
-2.191959008,1.125562835,-0.798837199,-0.664272313,2.366142867,-0.037350046
